travelCode,userCode,from,to,flightType,price,time,distance,agency,date,Weekday,Binaryweekday
33046,319,Rio de Janeiro,Aracaju,premium,1098.93,1.55,597.61,Rainbow,8/1/2020,Sat,1
23049,225,Sao Paulo,Aracaju,economic,647.9,1.02,392.76,Rainbow,10/28/2019,Mon,0
45544,445,Brasilia,Salvador,economic,921.08,1.76,676.56,Rainbow,8/6/2020,Thu,0
3842,39,Aracaju,Sao Paulo,firstClass,752.27,1.02,392.76,Rainbow,4/29/2021,Thu,0
13043,127,Recife,Campo Grande,premium,793.15,1.39,535.4,CloudFy,3/18/2021,Thu,0
22394,219,Natal,Recife,firstClass,744.11,0.58,222.67,CloudFy,12/24/2021,Fri,0
79690,775,Sao Paulo,Natal,firstClass,932.87,0.85,327.55,Rainbow,10/14/2021,Thu,0
38010,363,Campo Grande,Recife,economic,659.43,1.39,535.4,CloudFy,2/9/2020,Sun,1
131926,1298,Florianopolis,Sao Paulo,firstClass,738.8,1.46,562.14,Rainbow,12/30/2021,Thu,0
66106,641,Campo Grande,Sao Paulo,premium,536.98,0.44,168.22,CloudFy,10/13/2022,Thu,0
85023,836,Aracaju,Natal,economic,332.1,0.46,176.33,CloudFy,1/5/2020,Sun,1
103423,1026,Florianopolis,Sao Paulo,firstClass,738.8,1.46,562.14,Rainbow,9/22/2022,Thu,0
119889,1189,Recife,Florianopolis,firstClass,1371.83,1.76,676.53,Rainbow,7/12/2020,Sun,1
40194,388,Aracaju,Recife,premium,875.41,1.44,555.74,Rainbow,8/5/2021,Thu,0
66189,642,Aracaju,Campo Grande,premium,1021.53,1.69,650.1,CloudFy,10/31/2020,Sat,1
75011,728,Campo Grande,Aracaju,economic,877.56,1.69,650.1,Rainbow,2/3/2020,Mon,0
38994,373,Brasilia,Salvador,firstClass,1724.49,1.76,676.56,FlyingDrops,2/27/2020,Thu,0
42377,412,Aracaju,Brasilia,economic,472.72,1.11,425.98,CloudFy,12/1/2022,Thu,0
118140,1170,Recife,Florianopolis,firstClass,1354.53,1.76,676.53,CloudFy,8/13/2021,Fri,0
87883,868,Sao Paulo,Aracaju,economic,722.74,1.02,392.76,CloudFy,6/20/2021,Sun,1
88956,879,Sao Paulo,Rio de Janeiro,premium,861.9,0.86,331.89,Rainbow,11/14/2019,Thu,0
37482,356,Campo Grande,Aracaju,premium,1215.45,1.69,650.1,CloudFy,4/30/2021,Fri,0
85246,837,Natal,Salvador,firstClass,1744.87,1.85,710.57,FlyingDrops,4/8/2021,Thu,0
97497,963,Florianopolis,Natal,firstClass,1385.49,1.84,709.37,Rainbow,7/23/2020,Thu,0
72177,702,Salvador,Natal,premium,970.32,1.85,710.57,CloudFy,11/25/2019,Mon,0
13381,132,Aracaju,Sao Paulo,firstClass,752.27,1.02,392.76,Rainbow,10/10/2019,Thu,0
29239,279,Brasilia,Florianopolis,economic,889.07,1.66,637.56,Rainbow,3/11/2021,Thu,0
18886,186,Aracaju,Rio de Janeiro,economic,712.64,1.55,597.61,Rainbow,7/16/2020,Thu,0
78475,762,Rio de Janeiro,Aracaju,premium,1091.21,1.55,597.61,CloudFy,12/20/2019,Fri,0
49965,487,Aracaju,Campo Grande,economic,743.54,1.69,650.1,Rainbow,11/5/2021,Fri,0
59809,580,Rio de Janeiro,Campo Grande,firstClass,1518.88,2.09,806.48,Rainbow,6/13/2021,Sun,1
69,0,Recife,Sao Paulo,premium,670.13,1.26,486.52,Rainbow,1/21/2021,Thu,0
111370,1104,Florianopolis,Natal,premium,1114.55,1.84,709.37,Rainbow,10/17/2019,Thu,0
41151,398,Aracaju,Recife,firstClass,1088.87,1.44,555.74,FlyingDrops,10/8/2020,Thu,0
87510,864,Florianopolis,Sao Paulo,firstClass,762.89,1.46,562.14,FlyingDrops,12/3/2021,Fri,0
170,2,Aracaju,Sao Paulo,premium,588.14,1.02,392.76,Rainbow,3/4/2021,Thu,0
65272,634,Campo Grande,Florianopolis,firstClass,1341.21,1.49,573.81,Rainbow,5/12/2022,Thu,0
100732,1001,Brasilia,Florianopolis,premium,1189.32,1.66,637.56,CloudFy,2/11/2023,Sat,1
93977,929,Florianopolis,Natal,economic,780.68,1.84,709.37,Rainbow,10/10/2019,Thu,0
63030,614,Campo Grande,Natal,economic,467.6,0.65,250.68,CloudFy,11/7/2019,Thu,0
123599,1223,Recife,Florianopolis,premium,1074.75,1.76,676.53,CloudFy,5/11/2020,Mon,0
70320,681,Rio de Janeiro,Aracaju,firstClass,1386.46,1.55,597.61,Rainbow,10/4/2019,Fri,0
25049,242,Brasilia,Campo Grande,firstClass,1069.61,0.72,277.7,Rainbow,10/13/2022,Thu,0
103595,1027,Florianopolis,Recife,firstClass,1300.6,1.76,676.53,CloudFy,3/10/2022,Thu,0
68285,662,Aracaju,Recife,premium,835.21,1.44,555.74,CloudFy,1/16/2020,Thu,0
130986,1288,Aracaju,Florianopolis,economic,869.13,2.1,808.85,CloudFy,5/20/2022,Fri,0
4278,43,Recife,Brasilia,firstClass,709.25,0.63,242.21,CloudFy,1/9/2020,Thu,0
66502,645,Campo Grande,Rio de Janeiro,firstClass,1754.17,2.09,806.48,Rainbow,12/9/2021,Thu,0
1176,11,Aracaju,Florianopolis,firstClass,1499.93,2.1,808.85,FlyingDrops,9/26/2019,Thu,0
13858,137,Brasilia,Campo Grande,premium,851.15,0.72,277.7,Rainbow,12/24/2020,Thu,0
55329,540,Aracaju,Campo Grande,economic,743.54,1.69,650.1,Rainbow,6/5/2021,Sat,1
118263,1172,Campo Grande,Florianopolis,economic,808.63,1.49,573.81,CloudFy,9/6/2020,Sun,1
83823,822,Campo Grande,Natal,premium,652.47,0.65,250.68,CloudFy,2/14/2020,Fri,0
29750,284,Brasilia,Sao Paulo,economic,538.95,0.67,257.81,CloudFy,5/20/2021,Thu,0
115656,1149,Florianopolis,Campo Grande,firstClass,857.32,1.49,573.81,Rainbow,3/12/2020,Thu,0
9400,94,Recife,Natal,economic,301.51,0.58,222.67,CloudFy,8/19/2021,Thu,0
101373,1005,Rio de Janeiro,Florianopolis,firstClass,961.99,1.21,466.3,FlyingDrops,4/23/2021,Fri,0
80737,786,Natal,Sao Paulo,firstClass,1020.42,0.85,327.55,CloudFy,11/7/2020,Sat,1
77122,749,Salvador,Aracaju,premium,1209.04,2.16,830.86,CloudFy,5/1/2020,Fri,0
15889,157,Aracaju,Recife,firstClass,1124.11,1.44,555.74,CloudFy,8/5/2021,Thu,0
4018,40,Brasilia,Florianopolis,economic,889.07,1.66,637.56,Rainbow,12/2/2021,Thu,0
102461,1015,Sao Paulo,Florianopolis,economic,947.95,1.46,562.14,CloudFy,1/22/2022,Sat,1
76562,744,Aracaju,Campo Grande,firstClass,1389.37,1.69,650.1,CloudFy,11/3/2022,Thu,0
107582,1067,Florianopolis,Campo Grande,premium,714.86,1.49,573.81,Rainbow,4/16/2020,Thu,0
66620,646,Brasilia,Campo Grande,premium,831.7,0.72,277.7,CloudFy,4/11/2021,Sun,1
126194,1249,Florianopolis,Rio de Janeiro,firstClass,549.55,1.21,466.3,Rainbow,11/28/2019,Thu,0
92116,908,Rio de Janeiro,Florianopolis,premium,708.27,1.21,466.3,CloudFy,10/8/2022,Sat,1
129294,1272,Campo Grande,Florianopolis,economic,764.53,1.49,573.81,Rainbow,3/19/2022,Sat,1
125050,1234,Florianopolis,Sao Paulo,economic,426.91,1.46,562.14,CloudFy,8/6/2020,Thu,0
57799,563,Campo Grande,Sao Paulo,premium,441.34,0.44,168.22,Rainbow,5/21/2020,Thu,0
78744,765,Rio de Janeiro,Sao Paulo,premium,645.44,0.86,331.89,CloudFy,4/24/2020,Fri,0
104217,1033,Florianopolis,Rio de Janeiro,premium,481.42,1.21,466.3,Rainbow,7/22/2021,Thu,0
101599,1008,Recife,Florianopolis,economic,761.2,1.76,676.53,CloudFy,2/7/2020,Fri,0
3798,39,Brasilia,Recife,firstClass,804.24,0.63,242.21,CloudFy,6/27/2020,Sat,1
119373,1185,Florianopolis,Sao Paulo,premium,554.87,1.46,562.14,CloudFy,10/31/2019,Thu,0
126796,1253,Rio de Janeiro,Florianopolis,premium,708.27,1.21,466.3,CloudFy,5/16/2022,Mon,0
110465,1095,Brasilia,Florianopolis,firstClass,1487.52,1.66,637.56,CloudFy,4/24/2021,Sat,1
100630,1001,Florianopolis,Rio de Janeiro,firstClass,624.89,1.21,466.3,FlyingDrops,2/25/2021,Thu,0
60453,584,Campo Grande,Aracaju,firstClass,1545.78,1.69,650.1,Rainbow,3/31/2022,Thu,0
112417,1113,Florianopolis,Campo Grande,premium,714.86,1.49,573.81,Rainbow,6/10/2021,Thu,0
75435,733,Sao Paulo,Natal,firstClass,946.36,0.85,327.55,CloudFy,2/28/2020,Fri,0
107446,1066,Florianopolis,Recife,economic,695.3,1.76,676.53,Rainbow,12/17/2020,Thu,0
2872,25,Brasilia,Sao Paulo,premium,698.1,0.67,257.81,CloudFy,10/1/2020,Thu,0
89793,886,Salvador,Florianopolis,economic,899.6,2.44,937.77,Rainbow,7/20/2020,Mon,0
74255,719,Sao Paulo,Brasilia,firstClass,742.94,0.67,257.81,CloudFy,9/3/2020,Thu,0
47520,461,Campo Grande,Sao Paulo,firstClass,684.65,0.44,168.22,FlyingDrops,7/9/2020,Thu,0
45787,447,Campo Grande,Recife,premium,991.22,1.39,535.4,Rainbow,6/28/2021,Mon,0
104279,1034,Campo Grande,Florianopolis,premium,1030.13,1.49,573.81,Rainbow,1/6/2020,Mon,0
129432,1273,Florianopolis,Natal,firstClass,1315.27,1.84,709.37,CloudFy,10/7/2021,Thu,0
89285,881,Sao Paulo,Recife,firstClass,1464.89,1.26,486.52,FlyingDrops,12/31/2020,Thu,0
121583,1205,Florianopolis,Natal,premium,1128.51,1.84,709.37,CloudFy,12/24/2020,Thu,0
22007,216,Brasilia,Florianopolis,premium,1222.24,1.66,637.56,Rainbow,2/20/2020,Thu,0
60117,582,Campo Grande,Recife,firstClass,1244.73,1.39,535.4,CloudFy,1/6/2022,Thu,0
132077,1301,Sao Paulo,Florianopolis,firstClass,1684.14,1.46,562.14,CloudFy,10/7/2019,Mon,0
8648,84,Recife,Brasilia,firstClass,709.25,0.63,242.21,CloudFy,11/16/2019,Sat,1
58980,573,Natal,Campo Grande,premium,660.25,0.65,250.68,Rainbow,5/27/2022,Fri,0
122702,1217,Florianopolis,Aracaju,firstClass,1574.28,2.1,808.85,FlyingDrops,10/10/2019,Thu,0
101257,1004,Florianopolis,Campo Grande,premium,697.65,1.49,573.81,CloudFy,11/17/2022,Thu,0
87625,865,Natal,Aracaju,economic,361.68,0.46,176.33,CloudFy,9/14/2020,Mon,0
112224,1112,Florianopolis,Sao Paulo,firstClass,693.51,1.46,562.14,CloudFy,3/19/2020,Thu,0
34401,329,Rio de Janeiro,Aracaju,premium,1091.21,1.55,597.61,CloudFy,6/7/2020,Sun,1
88403,873,Natal,Salvador,economic,959.79,1.85,710.57,Rainbow,1/14/2021,Thu,0
119755,1188,Natal,Florianopolis,economic,873.07,1.84,709.37,CloudFy,4/5/2021,Mon,0
108496,1076,Florianopolis,Salvador,premium,1311.38,2.44,937.77,CloudFy,6/2/2022,Thu,0
64189,625,Rio de Janeiro,Campo Grande,premium,1139.93,2.09,806.48,CloudFy,3/13/2020,Fri,0
41777,407,Rio de Janeiro,Aracaju,premium,1091.21,1.55,597.61,CloudFy,9/19/2021,Sun,1
122877,1218,Florianopolis,Campo Grande,premium,714.86,1.49,573.81,Rainbow,9/30/2021,Thu,0
97559,965,Campo Grande,Florianopolis,economic,764.53,1.49,573.81,Rainbow,3/6/2020,Fri,0
7717,74,Brasilia,Campo Grande,premium,851.15,0.72,277.7,Rainbow,11/21/2019,Thu,0
41139,398,Rio de Janeiro,Brasilia,premium,435.67,0.48,183.37,Rainbow,7/20/2020,Mon,0
19879,194,Aracaju,Campo Grande,economic,750.92,1.69,650.1,CloudFy,10/17/2019,Thu,0
91733,905,Sao Paulo,Florianopolis,firstClass,1684.14,1.46,562.14,CloudFy,9/16/2022,Fri,0
39501,381,Aracaju,Recife,firstClass,1124.11,1.44,555.74,CloudFy,7/8/2022,Fri,0
107617,1067,Florianopolis,Recife,firstClass,1292.29,1.76,676.53,FlyingDrops,12/17/2020,Thu,0
74465,723,Aracaju,Sao Paulo,firstClass,756.3,1.02,392.76,FlyingDrops,2/20/2020,Thu,0
86960,858,Natal,Sao Paulo,premium,863.8,0.85,327.55,CloudFy,11/27/2020,Fri,0
18013,178,Rio de Janeiro,Aracaju,premium,1091.21,1.55,597.61,CloudFy,7/16/2021,Fri,0
96060,949,Rio de Janeiro,Florianopolis,firstClass,875.65,1.21,466.3,CloudFy,9/12/2021,Sun,1
103410,1026,Aracaju,Florianopolis,firstClass,1582.41,2.1,808.85,Rainbow,6/24/2022,Fri,0
83930,823,Sao Paulo,Campo Grande,economic,367.22,0.44,168.22,Rainbow,9/3/2020,Thu,0
115748,1149,Florianopolis,Recife,economic,695.3,1.76,676.53,Rainbow,12/16/2021,Thu,0
74293,719,Natal,Recife,firstClass,744.11,0.58,222.67,CloudFy,5/27/2021,Thu,0
50061,488,Salvador,Campo Grande,premium,684.85,1.36,522.34,CloudFy,10/19/2020,Mon,0
3730,38,Brasilia,Aracaju,firstClass,1287.52,1.11,425.98,FlyingDrops,2/26/2021,Fri,0
102027,1012,Florianopolis,Campo Grande,economic,478.02,1.49,573.81,CloudFy,3/19/2020,Thu,0
118220,1172,Florianopolis,Natal,premium,1128.51,1.84,709.37,CloudFy,11/7/2019,Thu,0
59503,577,Campo Grande,Aracaju,firstClass,1545.78,1.69,650.1,Rainbow,4/30/2020,Thu,0
104472,1037,Florianopolis,Sao Paulo,economic,426.91,1.46,562.14,CloudFy,12/12/2019,Thu,0
84254,826,Campo Grande,Sao Paulo,firstClass,684.65,0.44,168.22,FlyingDrops,4/3/2021,Sat,1
81388,793,Campo Grande,Natal,economic,411.05,0.65,250.68,Rainbow,8/16/2020,Sun,1
110486,1095,Florianopolis,Recife,economic,695.3,1.76,676.53,Rainbow,9/16/2021,Thu,0
89755,886,Florianopolis,Natal,economic,780.68,1.84,709.37,Rainbow,10/24/2019,Thu,0
82848,809,Aracaju,Sao Paulo,firstClass,752.27,1.02,392.76,Rainbow,2/20/2020,Thu,0
1141,10,Recife,Florianopolis,firstClass,1371.83,1.76,676.53,Rainbow,4/16/2020,Thu,0
47237,458,Florianopolis,Campo Grande,firstClass,930.34,1.49,573.81,FlyingDrops,4/10/2021,Sat,1
79870,776,Rio de Janeiro,Natal,premium,998.18,1.55,595.03,CloudFy,3/27/2022,Sun,1
124884,1233,Florianopolis,Sao Paulo,economic,427,1.46,562.14,Rainbow,1/2/2020,Thu,0
101523,1007,Sao Paulo,Florianopolis,economic,947.95,1.46,562.14,CloudFy,12/22/2019,Sun,1
112302,1112,Salvador,Florianopolis,firstClass,1657.48,2.44,937.77,CloudFy,9/18/2021,Sat,1
68551,664,Campo Grande,Natal,economic,411.05,0.65,250.68,Rainbow,10/10/2020,Sat,1
82113,798,Sao Paulo,Brasilia,economic,393.84,0.67,257.81,Rainbow,5/5/2022,Thu,0
80722,786,Brasilia,Sao Paulo,economic,538.95,0.67,257.81,CloudFy,7/27/2020,Mon,0
31034,296,Brasilia,Natal,economic,726.19,1.43,550.69,Rainbow,1/14/2021,Thu,0
128226,1263,Campo Grande,Florianopolis,premium,1030.13,1.49,573.81,Rainbow,10/22/2021,Fri,0
88845,878,Florianopolis,Aracaju,premium,1248.7,2.1,808.85,Rainbow,4/4/2021,Sun,1
53011,513,Campo Grande,Brasilia,economic,517.82,0.72,277.7,Rainbow,2/20/2020,Thu,0
52924,512,Campo Grande,Rio de Janeiro,firstClass,1609.81,2.09,806.48,FlyingDrops,1/20/2022,Thu,0
32100,308,Aracaju,Recife,premium,875.41,1.44,555.74,Rainbow,4/2/2020,Thu,0
127974,1261,Florianopolis,Brasilia,economic,555.01,1.66,637.56,Rainbow,2/25/2021,Thu,0
70565,684,Natal,Campo Grande,firstClass,855.82,0.65,250.68,Rainbow,10/29/2020,Thu,0
75079,729,Natal,Sao Paulo,firstClass,1142.29,0.85,327.55,FlyingDrops,11/12/2020,Thu,0
77689,755,Natal,Aracaju,premium,479.37,0.46,176.33,Rainbow,7/29/2021,Thu,0
113208,1123,Florianopolis,Natal,economic,726.95,1.84,709.37,CloudFy,8/26/2021,Thu,0
49619,485,Brasilia,Campo Grande,economic,583.6,0.72,277.7,CloudFy,11/6/2021,Sat,1
5325,52,Aracaju,Recife,economic,602.49,1.44,555.74,Rainbow,3/4/2023,Sat,1
17271,173,Recife,Brasilia,premium,638.63,0.63,242.21,Rainbow,5/21/2020,Thu,0
114505,1139,Florianopolis,Recife,economic,695.3,1.76,676.53,Rainbow,10/22/2020,Thu,0
74024,717,Natal,Sao Paulo,economic,583.17,0.85,327.55,Rainbow,10/16/2020,Fri,0
128319,1264,Florianopolis,Brasilia,premium,885.37,1.66,637.56,CloudFy,10/29/2020,Thu,0
132944,1310,Florianopolis,Campo Grande,firstClass,949.58,1.49,573.81,CloudFy,7/22/2021,Thu,0
106990,1061,Campo Grande,Florianopolis,firstClass,1310.32,1.49,573.81,FlyingDrops,5/30/2022,Mon,0
19105,187,Sao Paulo,Recife,firstClass,1573.5,1.26,486.52,Rainbow,6/18/2021,Fri,0
33705,323,Recife,Aracaju,economic,684.88,1.44,555.74,CloudFy,2/5/2022,Sat,1
76631,745,Aracaju,Sao Paulo,premium,630.34,1.02,392.76,CloudFy,6/25/2020,Thu,0
67416,653,Sao Paulo,Brasilia,firstClass,727.31,0.67,257.81,FlyingDrops,10/17/2019,Thu,0
83446,814,Aracaju,Florianopolis,economic,852.18,2.1,808.85,Rainbow,12/22/2022,Thu,0
91982,908,Campo Grande,Florianopolis,economic,808.63,1.49,573.81,CloudFy,3/13/2020,Fri,0
61526,601,Sao Paulo,Campo Grande,firstClass,668.19,0.44,168.22,FlyingDrops,11/23/2020,Mon,0
104877,1040,Florianopolis,Salvador,firstClass,1630.75,2.44,937.77,Rainbow,9/2/2021,Thu,0
67196,651,Brasilia,Aracaju,economic,654.88,1.11,425.98,CloudFy,7/15/2022,Fri,0
115181,1146,Recife,Florianopolis,economic,803.39,1.76,676.53,Rainbow,5/31/2020,Sun,1
97580,965,Campo Grande,Florianopolis,firstClass,1310.32,1.49,573.81,FlyingDrops,8/1/2020,Sat,1
128662,1268,Florianopolis,Campo Grande,firstClass,930.34,1.49,573.81,FlyingDrops,6/2/2022,Thu,0
99959,992,Salvador,Florianopolis,premium,1336.68,2.44,937.77,Rainbow,9/9/2022,Fri,0
135695,1335,Florianopolis,Campo Grande,economic,478.02,1.49,573.81,CloudFy,5/21/2020,Thu,0
93178,919,Florianopolis,Salvador,premium,1311.38,2.44,937.77,CloudFy,9/8/2022,Thu,0
95710,945,Florianopolis,Natal,premium,1114.55,1.84,709.37,Rainbow,6/10/2021,Thu,0
39139,377,Recife,Aracaju,economic,684.88,1.44,555.74,CloudFy,11/10/2019,Sun,1
